NestID,Length,TotalLength,ItemNumber,RemainingLength
7872,486,4094,01846,0
7874,469,6000,01841,0
7880,493,5916,01838,84
7880,493,5916,01839,84
7880,493,5916,01842,84
7880,493,5916,01847,84
7880,493,5916,01848,84
7880,493,5916,01849,84
7880,493,5916,01850,84
7880,493,5916,01854,84
7880,493,5916,01855,84
7880,493,5916,01856,84
7880,493,5916,03142,84
7881,493,5905,01837,95
7883,491,5888,01851,112
7885,470,836,01840,5164
7891,392,8000,00162,0
7891,392,8000,00163,0
7891,392,8000,00164,0
7891,392,8000,00165,0
7891,392,8000,01648,0
7891,392,8000,01652,0
7891,392,8000,01653,0
7891,392,8000,01654,0
7891,392,8000,01655,0
7891,392,8000,01660,0
7892,494,8000,03324,0
7892,494,8000,03325,0
7893,1735,8000,01870,0
7893,494,8000,03288,0
7893,435,8000,01425,0
7894,493,8000,02987,0
7894,493,8000,02992,0
7894,435,8000,01424,0
7897,2207,8000,01576,0
7898,2161,8000,01573,0
7902,2157,8000,01456,0
7902,1494,8000,03323,0
7904,1494,7996,01581,4
7905,994,7993,03180,7
7913,2660,7980,01580,20
7914,2660,7980,01577,20
7914,2660,7980,01578,20
7914,2660,7980,01579,20
7915,2660,7980,00255,20
7915,2660,7980,01574,20
7915,2660,7980,01575,20
7916,2659,7977,01217,23
7916,2659,7977,01252,23
7916,2659,7977,01253,23
7918,2656,7968,01422,32
7918,2656,7968,01436,32
7922,2656,7898,01295,102
7922,2656,7898,01371,102
7969,2660,12976,00263,24
7969,2656,12976,00257,24
7971,2656,2656,00252,10344
7869,492,2881,03124,3119
7869,473,2881,03578,3119
7870,495,6000,03898,0
7870,492,6000,03118,0
7870,492,6000,03119,0
7870,492,6000,03121,0
7870,492,6000,03708,0
7870,492,6000,03899,0
7870,344,6000,03120,0
7870,311,6000,03127,0
7872,550,4094,03090,0
7873,498,6000,02162,0
7873,467,6000,03448,0
7874,469,6000,03447,0
7874,440,6000,02161,0
7875,495,6000,02190,0
7875,495,6000,02315,0
7875,495,6000,02319,0
7875,495,6000,03089,0
7876,495,5922,02138,78
7876,495,5922,02152,78
7876,493,5922,03091,78
7876,493,5922,03092,78
