,NestID,Length,TotalLength,ItemNumber,RemainingLength
21802,9018,3035,6070,00001,1930.0
2299,4218,2657,7971,00001,5029.0
24070,388,369,8000,00001,0.0
38104,7195,1405,13000,00001,0.0
51841,173,1117,1117,00001,4883.0
26706,1223,1907,13000,00001,0.0
35277,2707,848,7996,00001,4.0
10644,2259,2010,4614,00001,0.0
48544,8652,3121,7888,00001,112.0
30853,3432,943,2600,00001,0.0
42811,8589,1433,10795,00001,2205.0
45334,10249,1034,8000,00001,0.0
37918,1549,1589,3236,0000120,2764.0
38926,8547,900,5327,00002,0.0
8117,5309,593,7998,00002,2.0
10789,3145,2158,2158,00002,3842.0
38540,5729,2625,7998,00002,2.0
41680,120,2990,7890,00002,110.0
35112,9829,1585,7991,00002,9.0
25410,1150,2819,9825,00002,0.0
48344,8650,385,2735,00002,29.0
22906,3366,2700,5400,00002,2600.0
10588,2261,2010,12825,00002,175.0
53098,9303,2115,5833,00002,617.0
52098,10437,350,4036,00002,40.0
45304,10254,1334,8000,00002,0.0
46802,23,700,13000,00003,0.0
28889,2850,7950,7950,00003,50.0
22907,3366,2700,5400,00003,2600.0
45749,9297,402,12998,00003,2.0
43424,204,1493,12993,00003,7.0
1312,7057,1732,13000,00003,0.0
45293,10249,1412,8000,00003,0.0
35113,9829,1585,7991,00003,9.0
38544,5731,3075,7911,00003,89.0
10634,2215,2153,8000,00003,0.0
41542,10764,3894,7659,00003,341.0
47139,4721,2135,2135,00003,5865.0
49884,162,725,5974,00003,26.0
14200,1290,2215,13000,00003,0.0
36847,2391,705,13000,00003,0.0
860,9573,2575,12769,00003,231.0
42816,8583,600,2191,00003,52.0
33495,1472,1829,3082,00003,6.0
27897,521,1742,6561,00003,6439.0
33553,1485,4908,12996,00004,4.0
38952,8566,2444,12128,00004,872.0
47134,4716,2135,6473,00004,1527.0
844,9570,495,5408,00004,-9.09e-13
45286,10248,1412,8000,00004,0.0
49880,161,725,6000,00004,0.0
22904,3365,2700,5400,00004,2600.0
38582,5746,9106,12834,00004,166.0
10495,2244,1754,1754,00004,346.0
53097,9303,3368,5833,00004,617.0
35114,9829,1585,7991,00004,9.0
50790,891,2978,3819,00004,9181.0
36844,2390,706,2786,00004,0.0
27896,521,1811,6561,00004,6439.0
34123,5459,9775,9775,00005,3225.0
33497,1472,453,3082,00005,6.0
35111,9828,1585,7992,00005,8.0
38583,5749,8387,8387,00005,4613.0
22905,3365,2700,5400,00005,2600.0
30617,4596,2069,2069,00005,10931.0
25417,1151,2284,13000,00005,0.0
41678,119,2490,7970,00005,30.0
46830,29,850,12968,00005,32.0
36874,2393,735,13000,00005,0.0
38934,8557,553,10716,00005,0.0
31577,5167,1669,11572,00005,1428.0
1509,7054,418,11856,00005,0.0
45303,10254,1335,8000,00005,0.0
50786,890,2978,12920,00005,80.0
40815,5131,6939,7802,00006,5198.0
29010,2882,11276,11276,00006,1724.0
45305,10254,1334,8000,00006,0.0
30615,4595,2069,4138,00006,223.0
33506,1478,3595,12656,00006,344.0
31875,2481,1289,1289,00006,1355.0
14391,1289,1000,13000,00006,0.0
42423,6826,9238,9238,00006,3762.0
49885,164,725,5780,00006,220.0
27496,7614,1624,13000,00006,0.0
52551,37,1248,3199,00006,2801.0
35109,9827,1585,7994,00006,6.0
43426,205,8800,12991,00006,9.0
50793,892,2140,5735,00006,3548.0
21796,9006,3041,6081,00006,1919.0
36309,10592,740,8000,00006,0.0
42606,9137,691,13000,00006,0.0
34125,5461,7150,7150,00006,5850.0
45709,9292,3368,10097,00006,2903.0
38949,8562,1002,12860,00006,140.0
45710,9292,3368,10097,00007,2903.0
36308,10592,757,8000,00007,0.0
21790,8980,518,8000,00007,0.0
34108,5447,550,13000,00007,0.0
25308,3023,5074,12194,00007,806.0
42603,9137,752,13000,00007,0.0
45287,10248,1412,8000,00007,0.0
38534,5728,1844,8000,00007,0.0
49886,164,725,5780,00007,220.0
16053,4813,12800,12800,00007,200.0
40813,5130,6939,12338,00007,662.0
52576,537,3502,3502,00007,2498.0
36895,2399,4680,12978,00007,22.0
9688,1875,2195,8000,00007,0.0
29009,2881,11276,11276,00007,1724.0
33550,1484,989,12999,00007,1.0
3351,3858,10501,10501,00007,2499.0
43434,208,9398,9398,00007,3602.0
30577,4561,3044,6088,00007,1912.0
22902,3364,2700,5400,00007,2600.0
33221,11057,6254,6254,00007,1746.0
19498,640,1650,13000,00007,0.0
21806,9032,1493,12907,00008,93.0
41679,119,2490,7970,00008,30.0
16052,4812,12800,12800,00008,200.0
23293,8427,704,8000,00008,0.0
36937,2401,1256,12561,00008,439.0
42607,9137,691,13000,00008,0.0
9761,1917,6550,6550,00008,1450.0
1388,7064,1884,13000,00008,0.0
30472,4599,1809,3618,00008,9382.0
22903,3364,2700,5400,00008,2600.0
27626,7575,790,1580,00008,716.0
22171,8096,621,13000,00008,0.0
3350,3857,10501,10501,00008,2499.0
38535,5728,1695,8000,00008,0.0
33219,11055,6289,6289,00008,1711.0
35887,10834,358,3700,00008,0.0
45706,9291,3368,10104,00008,2896.0
6339,8830,363,8000,00008,0.0
11849,6674,6476,12997,00008,3.0
42388,6831,507,2028,00008,5448.0
39202,3642,2775,5550,00008,2450.0
38084,7173,9919,9919,00008,3081.0
29000,2874,7518,13000,00008,0.0
43432,207,9398,12816,00008,184.0
45288,10248,1412,8000,00008,0.0
34124,5460,7150,7150,00008,5850.0
33537,1482,3568,13000,00008,0.0
40808,5127,625,3223,00008,2.0
29011,2884,10776,10776,00009,2224.0
50794,892,451,5735,00009,3548.0
29828,2625,1985,13000,00009,0.0
42380,6814,507,7111,00009,889.0
22900,3362,2700,6825,00009,1175.0
22177,8105,3549,12649,00009,351.0
52578,539,2884,2884,00009,3116.0
3349,3856,10501,10501,00009,2499.0
38085,7174,9919,9919,00009,3081.0
16051,4811,12800,12800,00009,200.0
20021,2322,4618,4618,00009,3382.0
27627,7575,790,1580,00009,716.0
33512,1479,2850,11311,00009,1689.0
37291,7766,1690,13000,00009,0.0
43462,199,4490,7980,00009,20.0
44067,1020,489,2194,00009,3806.0
35084,9834,3718,7436,00009,564.0
45707,9291,3368,10104,00009,2896.0
9760,1913,3625,7250,00009,750.0
31970,10990,1497,8000,00009,0.0
24936,6013,3090,12978,00009,22.0
45302,10253,1329,5210,00009,0.0
14398,1296,2995,11980,00009,1020.0
49882,162,728,5974,00009,26.0
22898,3361,2700,6825,00010,1175.0
35085,9834,3718,7436,00010,564.0
51825,178,1132,5751,00010,249.0
24916,6009,2680,6324,00010,1676.0
25359,1139,1389,13000,00010,0.0
49883,162,728,5974,00010,26.0
20020,2321,4618,6533,00010,1467.0
30625,4593,628,628,00010,2363.0
45708,9291,3368,10104,00010,2896.0
50787,890,2978,12920,00010,80.0
33555,1486,5800,11320,00010,1680.0
9714,1883,5025,7977,00010,23.0
45292,10249,1427,8000,00010,0.0
40848,5129,625,12990,00010,10.0
16050,4810,12800,12800,00010,200.0
44088,1023,505,13000,00010,0.0
41137,10695,331,5224,00010,0.0
29013,2886,10500,10500,00010,2500.0
42601,9137,1492,13000,00010,0.0
36936,2399,1256,12978,00010,22.0
1315,7059,1884,13000,00010,0.0
3340,3837,6065,12705,00010,295.0
37978,7168,6360,12720,00010,280.0
26829,1760,2350,4700,00010,104.0
46785,22,750,13000,00010,0.0
44897,10218,494,8000,00011,0.0
23140,3748,483,3950,00011,0.0
45703,9290,3368,10104,00011,2896.0
11854,6675,5455,12993,00011,7.0
41544,10765,2240,7324,00011,676.0
3348,3855,10501,10501,00011,2499.0
37979,7168,6360,12720,00011,280.0
16055,4815,10275,12350,00011,650.0
301,7937,1488,8000,00011,0.0
21235,8505,2966,7998,00011,2.0
9725,1897,3469,7923,00011,77.0
31746,2503,493,4600,00011,0.0
35082,9833,3718,7436,00011,564.0
37706,1361,460,2569,00011,1.0
24528,2796,374,13000,00011,0.0
53351,10960,417,417,00011,2973.0
41453,10405,1596,7998,00011,2.0
42608,9137,599,13000,00011,0.0
10563,2209,2119,8000,00011,0.0
51823,175,718,6000,00011,0.0
4691,8779,5452,5452,00011,7548.0
22896,3360,2700,6825,00011,1175.0
21795,9003,3045,6092,00011,1908.0
2570,4198,3185,7753,00011,247.0
33562,1489,3584,3584,00011,9416.0
40829,5117,625,8000,00011,0.0
44103,1025,824,13000,00011,0.0
23992,411,2805,12998,00011,2.0
50788,890,2978,12920,00011,80.0
33823,10492,242,5773,00012,0.0
3352,3859,6640,10449,00012,2551.0
29016,2888,4717,8867,00012,4133.0
22176,8101,2611,13000,00012,0.0
48952,10236,1435,7175,00012,825.0
21782,8978,303,8000,00012,0.0
52574,535,3533,3533,00012,2467.0
21337,8308,392,8000,00012,0.0
24896,6001,2680,7986,00012,14.0
16049,4809,12800,12800,00012,200.0
40836,5119,574,8000,00012,0.0
33485,1470,2244,5472,00012,0.0
42629,9149,3105,8390,00012,4610.0
41677,119,2990,7970,00012,30.0
50776,887,2425,4024,00012,2.0
288,7933,956,8000,00012,0.0
44083,1023,590,13000,00012,0.0
28691,1675,1300,12995,00012,5.0
45713,9293,3189,6550,00012,6450.0
52549,40,1128,2842,00012,3158.0
25546,1144,3459,12943,00012,57.0
40220,3679,10500,12903,00012,97.0
29064,11145,2620,7855,00012,145.0
42422,6825,9799,9799,00012,3201.0
10877,3202,457,13000,00012,0.0
