ItemNumber,Length
00001,12
0000120,1
00002,13
00003,19
00004,14
00005,15
00006,20
00007,22
00008,28
00009,24
00010,25
00011,29
00012,30
00013,26
00014,23
00015,29
00016,28
00017,27
00018,25
00019,30
00020,30
00021,29
00022,29
00023,30
00024,32
00025,30
00026,30
00027,31
00028,30
00029,30
00030,28
00031,25
00032,26
00033,20
00034,31
00035,35
00036,24
00037,21
00038,27
00039,31
00040,25
00041,26
00042,21
00043,22
00044,27
00045,22
00046,28
00047,21
00048,22
00049,21
00050,23
00051,27
00052,23
00053,23
00054,29
00055,24
00056,26
00057,23
00058,26
00059,24
00060,27
00061,25
00062,24
00063,24
00064,26
00065,32
00066,33
00067,26
00068,24
00069,29
00070,28
00071,31
00072,30
00073,33
00074,33
00075,37
00076,32
00077,31
00078,26
00079,34
00080,30
00081,28
00082,26
00083,27
00084,26
00085,28
00086,28
00087,27
00088,23
00089,26
00090,32
00091,33
00092,27
00093,27
00094,36
00095,30
00096,21
00097,26
00098,27
00099,30
00100,30
00101,27
00102,26
00103,33
00104,21
00105,29
00106,28
00107,24
00108,26
00109,25
00110,31
00111,31
00112,30
00113,23
00114,27
00115,29
00116,29
00117,27
00118,28
00119,26
00120,34
00121,25
00122,27
00123,33
00124,29
00125,32
00126,23
00127,31
00128,29
00129,26
00130,23
00131,27
00132,23
00133,30
00134,31
00135,27
00136,27
00137,29
00138,21
00139,25
00140,24
00141,26
00142,25
00143,25
00144,27
00145,25
00146,20
00147,26
00148,23
00149,22
00150,27
00151,26
00152,27
00153,27
00154,27
00155,31
00156,30
00157,29
00158,26
00159,31
00160,29
00161,30
00162,31
00163,31
00164,24
00165,29
00166,31
00167,28
00168,31
00169,24
00170,31
00171,28
00172,28
00173,25
00174,28
00175,24
00176,24
00177,27
00178,25
00179,24
00180,29
00181,21
00182,23
00183,26
00184,25
00185,25
00186,27
00187,27
00188,16
00189,21
00190,21
00191,23
00192,24
00193,26
00194,28
00195,26
00196,27
00197,26
00198,26
00199,22
00200,24
00201,21
00202,22
00203,20
00204,23
00205,24
00206,22
00207,20
00208,22
00209,19
00210,18
00211,13
00212,14
00213,23
00214,20
00215,19
00216,22
00217,24
00218,23
00219,23
00220,22
00221,25
00222,22
00223,23
00224,22
00225,23
00226,23
00227,23
00228,21
00229,26
00230,19
00231,21
00232,20
00233,16
00234,18
00235,16
00236,19
00237,19
00238,17
00239,25
00240,15
00241,22
00242,21
00243,17
00244,18
00245,14
00246,17
00247,15
00248,16
00249,19
00250,22
00251,17
00252,20
00253,19
00254,25
00255,17
00256,23
00257,22
00258,18
00259,19
00260,20
00261,24
00262,25
00263,20
00264,19
00265,19
00266,15
00267,25
00268,23
00269,25
00270,24
00271,27
00272,24
00273,22
00274,25
00275,16
00276,19
00277,19
00278,21
00279,20
00280,26
00281,30
00282,24
00283,20
00284,20
00285,23
00286,20
00287,23
00288,30
00289,24
00290,26
00291,27
00292,26
00293,24
00294,22
00295,21
00296,20
00297,18
00298,19
00299,22
00300,18
00301,17
00302,18
00303,17
00304,21
00305,22
00306,22
00307,16
00308,20
00309,28
00310,22
00311,20
00312,22
00313,23
00314,19
00315,21
00316,15
00317,16
00318,20
00319,20
00320,17
00321,20
00322,16
00323,14
00324,18
00325,11
00326,18
00327,19
00328,15
00329,21
00330,17
00331,21
00332,14
00333,15
00334,22
00335,20
00336,20
00337,18
00338,15
00339,16
00340,14
00341,16
00342,17
00343,15
00344,18
00345,21
00346,20
00347,22
00348,21
00349,19
00350,23
00351,18
00352,19
00353,17
00354,18
00355,16
00356,13
00357,17
00358,18
00359,16
00360,17
00361,20
00362,14
00363,16
00364,18
00365,15
00366,22
00367,18
00368,16
00369,20
00370,20
00371,19
00372,16
00373,15
00374,18
00375,13
00376,21
00377,19
00378,21
00379,21
00380,20
00381,16
00382,15
00383,17
00384,13
00385,15
00386,20
00387,17
00388,17
00389,19
00390,17
00391,11
00392,14
00393,11
00394,16
00395,18
00396,15
00397,12
00398,14
00399,16
00400,18
00401,15
00402,16
00403,14
00404,16
00405,15
00406,15
00407,17
00408,16
00409,11
00410,11
00411,12
00412,16
00413,15
00414,14
00415,16
00416,15
00417,16
00418,17
00419,13
00420,19
00421,14
00422,10
00423,12
00424,17
00425,12
00426,17
00427,15
00428,16
00429,15
00430,11
00431,18
00432,20
00433,15
00434,12
00435,12
00436,15
00437,16
00438,15
00439,18
00440,11
00441,14
00442,15
00443,16
00444,14
00445,11
00446,12
00447,10
00448,14
00449,14
00450,13
00451,15
00452,17
00453,17
00454,17
00455,14
00456,16
00457,20
00458,16
00459,20
00460,20
00461,16
00462,17
00463,17
00464,15
00465,15
00466,13
00467,16
00468,16
00469,19
00470,13
00471,14
00472,17
00473,13
00474,16
00475,15
00476,18
00477,16
00478,20
00479,17
00480,12
00481,16
00482,17
00483,17
00484,15
00485,14
00486,14
00487,16
00488,16
00489,12
00490,13
00491,11
00492,15
00493,12
00494,11
00495,11
00496,6
00497,8
00498,12
00499,11
00500,10
00501,8
00502,11
00503,13
00504,11
00505,10
00506,10
00507,13
00508,15
00509,12
00510,15
00511,12
00512,16
00513,11
00514,12
00515,10
00516,10
00517,13
00518,18
00519,12
00520,15
00521,11
00522,9
00523,13
00524,16
00525,8
00526,11
00527,11
00528,11
00529,11
00530,11
00531,13
00532,12
00533,12
00534,15
00535,15
00536,18
00537,12
00538,10
00539,11
00540,13
00541,13
00542,12
00543,9
00544,13
00545,13
00546,13
00547,9
00548,16
00549,8
00550,14
00551,12
00552,11
00553,10
00554,14
00555,15
00556,14
00557,12
00558,9
00559,16
00560,15
00561,15
00562,14
00563,14
00564,9
00565,11
00566,13
00567,11
00568,10
00569,13
00570,13
00571,14
00572,14
00573,14
00574,15
00575,15
00576,14
00577,13
00578,16
00579,6
00580,18
00581,13
00582,11
00583,11
00584,15
00585,15
00586,19
00587,17
00588,16
00589,16
00590,11
00591,11
00592,10
00593,13
00594,9
00595,10
00596,9
00597,13
00598,13
00599,11
00600,8
00601,12
00602,12
00603,14
00604,14
00605,14
00606,13
00607,11
00608,10
00609,14
00610,12
00611,11
00612,14
00613,16
00614,9
00615,12
00616,9
